valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,longitude,latitude,year,date_mutation
74154.0,19.0,1,34090,3.864641,43.624832,2023,2023-02-02
165000.0,47.0,2,34070,3.851449,43.591723,2023,2023-02-06
346049.0,69.0,3,34090,3.840701,43.64086,2023,2023-02-07
152800.0,36.0,2,34090,3.890575,43.627295,2023,2023-02-08
285000.0,69.0,3,34090,3.888623,43.629983,2023,2023-02-06
105000.0,32.0,2,34070,3.895432,43.60017,2023,2023-02-03
128000.0,74.0,4,34080,3.833891,43.617122,2023,2023-02-10
70000.0,21.0,1,34070,3.895432,43.60017,2023,2023-02-03
120000.0,37.0,1,34070,3.879735,43.595049,2023,2023-02-02
71500.0,22.0,1,34000,3.869315,43.613249,2023,2023-02-09
315000.0,81.0,3,34000,3.889082,43.621915,2023,2023-01-17
152000.0,41.0,2,34090,3.838355,43.640196,2023,2023-01-24
225250.0,73.0,3,34070,3.854115,43.600002,2023,2023-01-30
293547.0,90.0,3,34070,3.863319,43.604448,2023,2023-01-17
247000.0,65.0,3,34000,3.892732,43.606515,2023,2023-02-01
103933.2,19.0,1,34070,3.863837,43.584995,2023,2023-01-19
188400.0,71.0,4,34070,3.871134,43.597027,2023,2023-01-17
115000.0,39.0,2,34090,3.841651,43.627259,2023,2023-01-13
97100.0,27.0,1,34090,3.849118,43.636798,2023,2023-02-01
78980.0,18.0,1,34000,3.872515,43.607487,2023,2023-01-24
354400.0,66.0,3,34000,3.902972,43.60132,2023,2023-02-01
28500.0,19.0,1,34080,3.834838,43.6149,2023,2023-02-03
163870.0,52.0,2,34000,3.878938,43.601675,2023,2023-01-16
195000.0,81.0,4,34000,3.89248,43.613723,2023,2023-02-07
125000.0,54.0,2,34080,3.826286,43.613981,2023,2023-01-31
338000.0,115.0,4,34000,3.87716,43.608315,2023,2023-02-07
213000.0,73.0,3,34000,3.903514,43.595219,2023,2023-02-06
205500.0,42.0,2,34000,3.908881,43.610502,2023,2023-01-18
285000.0,63.0,3,34090,3.880366,43.622058,2023,2023-01-27
258100.0,64.0,3,34070,3.852788,43.589228,2023,2023-01-23
158000.0,37.0,2,34090,3.846267,43.632539,2023,2023-01-27
257280.0,93.0,4,34070,3.847755,43.598164,2023,2023-02-08
283000.0,158.0,5,34000,3.880016,43.607125,2023,2023-01-24
111400.0,48.0,2,34070,3.87871,43.581574,2023,2023-01-31
163148.0,47.0,2,34070,3.85352,43.587716,2023,2023-02-10
138000.0,53.0,2,34090,3.852553,43.621567,2023,2023-02-10
220000.0,43.0,2,34000,3.905077,43.604972,2023,2023-01-31
110000.0,48.0,2,34090,3.852553,43.621567,2023,2023-02-10
144900.0,45.0,2,34080,3.839912,43.620624,2023,2023-02-15
54500.0,18.0,1,34090,3.870352,43.628869,2023,2023-02-06
237000.0,60.0,3,34090,3.854339,43.623523,2023,2023-02-10
196000.0,66.0,3,34070,3.84453,43.594567,2023,2023-02-08
182000.0,65.0,3,34070,3.84453,43.594567,2023,2023-02-07
189000.0,67.0,3,34070,3.84453,43.594567,2023,2023-02-07
150000.0,53.0,2,34070,3.86336,43.603421,2023,2023-01-25
261800.0,50.0,2,34000,3.869048,43.615726,2023,2023-02-08
100000.0,37.0,2,34080,3.827372,43.612342,2023,2023-02-09
131000.0,44.0,2,34070,3.84453,43.594567,2023,2023-02-08
168000.0,37.0,2,34000,3.889476,43.612657,2023,2023-02-08
149000.0,31.0,2,34000,3.878575,43.602153,2023,2023-02-08
104000.0,35.0,1,34000,3.890981,43.614682,2023,2023-02-09
202000.0,46.0,2,34070,3.893988,43.598542,2023,2023-02-07
174000.0,42.0,2,34090,3.873038,43.63511,2023,2023-02-14
75500.0,51.0,2,34090,3.873657,43.624511,2023,2023-01-19
70000.0,23.0,1,34000,3.882713,43.603659,2023,2023-02-15
92500.0,25.0,1,34090,3.849118,43.636798,2023,2023-02-13
132000.0,40.0,2,34070,3.84453,43.594567,2023,2023-02-09
125000.0,40.0,2,34070,3.84453,43.594567,2023,2023-02-09
105000.0,55.0,3,34070,3.887651,43.598587,2023,2023-02-13
120000.0,32.0,1,34090,3.852553,43.621567,2023,2023-02-10
247100.0,72.0,3,34080,3.833728,43.63262,2023,2023-02-03
80000.0,23.0,1,34080,3.840328,43.625333,2023,2023-01-23
107000.0,45.0,2,34080,3.841272,43.616814,2023,2023-01-27
352500.0,112.0,5,34070,3.887149,43.599432,2023,2023-02-01
300000.0,81.0,4,34080,3.828586,43.635161,2023,2023-02-03
105991.0,17.0,1,34000,3.874949,43.609904,2023,2023-02-02
282720.0,87.0,3,34000,3.896334,43.606027,2023,2023-02-09
215500.0,58.0,3,34070,3.833678,43.602844,2023,2023-01-30
249000.0,103.0,6,34070,3.836052,43.608116,2023,2023-01-23
50000.0,17.0,1,34080,3.837947,43.613467,2023,2023-02-15
215000.0,39.0,1,34070,3.893135,43.602552,2023,2023-02-17
355000.0,83.0,4,34000,3.885496,43.626822,2023,2023-02-06
88000.0,23.0,1,34090,3.844825,43.632247,2023,2023-01-23
