id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439326,2023-01-19,000001,Vente en l'état futur d'achèvement,318000,8,,RUE DU LANTISSARGUES,3165,34070,34172,Montpellier,34,,,34172000ON0104,,,273,,,,,,,,,,1,,,,,,,,,,3.885238,43.587564
2023-439327,2023-01-24,000001,Vente en l'état futur d'achèvement,309000,8,,RUE DU LANTISSARGUES,3165,34070,34172,Montpellier,34,,,34172000ON0104,,,337,,,,,,,,,,1,,,,,,,,,,3.885238,43.587564
2023-439327,2023-01-24,000001,Vente en l'état futur d'achèvement,309000,8,,RUE DU LANTISSARGUES,3165,34070,34172,Montpellier,34,,,34172000ON0104,,,119,,,,,,,,,,1,,,,,,,,,,3.885238,43.587564
2023-439328,2023-01-27,000001,Vente,260000,491,,RUE BADEN POWELL,6645,34000,34172,Montpellier,34,,,34172000RX0303,,,121,71.21,,,,,,,,,1,2,Appartement,66,3,,,,,,3.909029,43.609992
2023-439330,2023-01-20,000001,Vente,5350000,1,,PL JEAN ANTOINE CHAPTAL,2962,34000,34172,Montpellier,34,,,34172000HX0150,,,,,,,,,,,,,0,2,Appartement,88,3,S,sols,,,6260,3.867299,43.602605
2023-439330,2023-01-20,000001,Vente,5350000,1,,PL JEAN ANTOINE CHAPTAL,2962,34000,34172,Montpellier,34,,,34172000HX0150,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,133,0,S,sols,,,6260,3.867299,43.602605
2023-439330,2023-01-20,000001,Vente,5350000,1,,PL JEAN ANTOINE CHAPTAL,2962,34000,34172,Montpellier,34,,,34172000HX0150,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,9298,0,S,sols,,,6260,3.867299,43.602605
2023-439330,2023-01-20,000001,Vente,5350000,1,,PL JEAN ANTOINE CHAPTAL,2962,34000,34172,Montpellier,34,,,34172000HX0316,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,15,3.867245,43.602466
2023-439331,2023-01-26,000001,Vente,58910,72,,AV DE LOUISVILLE,3347,34080,34172,Montpellier,34,,,34172000LR0033,,,15,,79,72.13,,,,,,,2,2,Appartement,70,3,,,,,,3.81587,43.622093
2023-439331,2023-01-26,000001,Vente,58910,72,,AV DE LOUISVILLE,3347,34080,34172,Montpellier,34,,,34172000LR0033,,,15,,79,72.13,,,,,,,2,3,Dépendance,,0,,,,,,3.81587,43.622093
